"Oorspronkelijk voorschrift";"Staalsoort";"fpk[N/mm^2]";"fpk/ys";"fp0,1k[N/mm^2]";"fpd[N/mm^2]";"strain_uk[%]";"Toelaatbare aanvangsspanning [N/mm^2]";"Toelaatbare werkvoorspanning [N/mm^2]"
"RVB 1962 / RVB 1967";"QP 90";883;803;638;580;3.5;574;486
"RVB 1962 / RVB 1967";"QP 105";1030;936;785;713;3.5;670;567
"RVB 1962 / RVB 1967";"QP 130";1275;1159;1030;936;3.5;829;701
"RVB 1962 / RVB 1967";"QP 140";1374;1249;1128;1026;3.5;893;755
"RVB 1962 / RVB 1967";"QP 150";1470;1338;1226;1115;3.5;956;809
"RVB 1962 / RVB 1967";"QP 160";1570;1427;1324;1204;3.5;1020;863
"RVB 1962 / RVB 1967";"QP 170";1670;1516;1422;1293;3.5;1084;917
"RVB 1962 / RVB 1967";"QP 180";1770;1605;1521;1382;3.5;1148;971
"RVB 1962 / RVB 1967";"QP 190";1864;1694;1619;1472;3.5;1212;1025
"RVB 1962 / RVB 1967";"QP 200";1864;1694;1619;1472;3,5;1275;1079
"VB 1974, VB 1974/1984";"FeP 1670";1670;1518;1440;1309;3.5;1254;1087
"VB 1974, VB 1974/1984";"FeP 1770";1770;1609;1520;1382;3.5;1328;1151
"VB 1974, VB 1974/1984";"FeP 1860";1860;1690;1600;1455;3.5;1394;1208
"NEN 6720 VBC:1991,1995";"FeP 1670";1670;1518;1440;1309;3.5;1216;0
"NEN 6720 VBC:1991,1995";"FeP 1770";1770;1609;1520;1382;3.5;1288;0
"NEN 6720 VBC:1991,1995";"FeP 1860";1860;1690;1600;1455;3.5;1352;0